da,y
6/6/2016,3832
6/7/2016,3954
6/8/2016,3751
6/9/2016,3485
6/10/2016,2855
6/11/2016,1677
6/12/2016,2196
6/13/2016,3550
6/14/2016,3760
6/15/2016,3557
6/16/2016,3482
6/17/2016,2818
6/18/2016,1668
6/19/2016,1919
6/20/2016,3522
6/21/2016,3470
6/22/2016,3464
6/23/2016,3336
6/24/2016,2482
6/25/2016,1358
6/26/2016,1721
6/27/2016,3078
6/28/2016,3091
6/29/2016,2948
6/30/2016,2726
7/1/2016,2226
7/2/2016,1039
7/3/2016,1307
7/4/2016,2144
7/5/2016,2840
7/6/2016,2821
7/7/2016,2700
7/8/2016,2381
7/9/2016,1305
7/10/2016,1655
7/11/2016,2855
7/12/2016,2960
7/13/2016,3189
7/14/2016,2814
7/15/2016,2325
7/16/2016,1222
7/17/2016,1636
7/18/2016,3007
7/19/2016,3151
7/20/2016,3082
7/21/2016,3077
7/22/2016,2431
7/23/2016,1407
7/24/2016,1755
7/25/2016,3320
7/26/2016,3277
7/27/2016,3164
7/28/2016,3077
7/29/2016,2366
7/30/2016,1341
7/31/2016,1765
8/1/2016,3095
8/2/2016,3138
8/3/2016,3369
8/4/2016,3106
8/5/2016,2497
8/6/2016,1339
8/7/2016,1688
8/8/2016,3056
8/9/2016,3135
8/10/2016,3207
8/11/2016,3111
8/12/2016,2436
8/13/2016,1420
8/14/2016,1749
8/15/2016,2970
8/16/2016,2299
8/17/2016,3106
8/18/2016,2926
8/19/2016,2539
8/20/2016,1470
8/21/2016,1808
8/22/2016,3082
8/23/2016,3249
8/24/2016,3210
8/25/2016,3011
8/26/2016,2532
8/27/2016,1430
8/28/2016,1910
8/29/2016,3115
8/30/2016,3226
8/31/2016,3219
9/1/2016,3116
9/2/2016,2230
9/3/2016,1376
9/4/2016,1761
9/5/2016,2643
9/6/2016,3341
9/7/2016,3584
9/8/2016,3319
9/9/2016,2630
9/10/2016,1577
9/11/2016,2307
9/12/2016,3446
9/13/2016,3625
9/14/2016,3759
9/15/2016,3454
9/16/2016,2785
9/17/2016,1861
9/18/2016,2547
9/19/2016,4050
9/20/2016,3762
9/21/2016,3987
9/22/2016,3996
9/23/2016,2663
9/24/2016,1797
9/25/2016,2719
9/26/2016,4325
9/27/2016,4382
9/28/2016,4458
9/29/2016,4222
9/30/2016,3176
10/1/2016,1986
10/2/2016,3023
10/3/2016,4281
10/4/2016,4522
10/5/2016,4588
10/6/2016,4134
10/7/2016,3196
10/8/2016,2066
10/9/2016,2873
10/10/2016,4145
10/11/2016,4399
10/12/2016,4620
10/13/2016,4422
10/14/2016,3505
10/15/2016,2269
10/16/2016,3265
10/17/2016,4917
10/18/2016,5103
10/19/2016,4776
10/20/2016,4462
10/21/2016,3497
10/22/2016,2292
10/23/2016,3135
10/24/2016,4865
10/25/2016,4960
10/26/2016,4777
10/27/2016,4431
10/28/2016,3179
10/29/2016,1955
10/30/2016,2921
10/31/2016,4416
11/1/2016,4185
11/2/2016,4508
11/3/2016,4241
11/4/2016,3394
11/5/2016,2263
11/6/2016,3281
11/7/2016,4488
11/8/2016,4251
11/9/2016,4102
11/10/2016,4022
11/11/2016,3085
11/12/2016,2169
11/13/2016,3172
11/14/2016,4888
11/15/2016,4808
11/16/2016,4903
11/17/2016,4681
11/18/2016,3424
11/19/2016,2580
11/20/2016,3426
11/21/2016,4693
11/22/2016,4564
11/23/2016,3904
11/24/2016,3197
11/25/2016,2678
11/26/2016,2394
11/27/2016,3396
11/28/2016,5047
11/29/2016,5338
11/30/2016,5425
12/1/2016,5081
12/2/2016,3977
12/3/2016,2667
12/4/2016,4031
12/5/2016,5439
12/6/2016,5479
12/7/2016,5467
12/8/2016,4991
12/9/2016,3970
12/10/2016,2712
12/11/2016,3515
12/12/2016,4945
12/13/2016,4927
12/14/2016,4488
12/15/2016,4071
12/16/2016,2780
12/17/2016,1884
12/18/2016,2293
12/19/2016,3145
12/20/2016,3064
12/21/2016,2914
12/22/2016,2211
12/23/2016,1626
12/24/2016,825
12/25/2016,930
12/26/2016,1418
12/27/2016,1777
12/28/2016,1915
12/29/2016,1837
12/30/2016,1541
12/31/2016,836
1/1/2017,1039
1/2/2017,1844
1/3/2017,2527
1/4/2017,2816
1/5/2017,2625
1/6/2017,2338
1/7/2017,1523
1/8/2017,1892
1/9/2017,2841
1/10/2017,3039
1/11/2017,3206
1/12/2017,3025
1/13/2017,2508
1/14/2017,1744
1/15/2017,2015
1/16/2017,3178
1/17/2017,3669
1/18/2017,3364
1/19/2017,3375
1/20/2017,2713
1/21/2017,1778
1/22/2017,2401
1/23/2017,3660
1/24/2017,3593
1/25/2017,3602
1/26/2017,3266
1/27/2017,2832
1/28/2017,1901
1/29/2017,2612
1/30/2017,3826
1/31/2017,3876
2/1/2017,4116
2/2/2017,4028
2/3/2017,3012
2/4/2017,2084
2/5/2017,2783
2/6/2017,4249
2/7/2017,4284
2/8/2017,4006
2/9/2017,3681
2/10/2017,2922
2/11/2017,1731
2/12/2017,2469
2/13/2017,3719
2/14/2017,3582
2/15/2017,3786
2/16/2017,3668
2/17/2017,2748
2/18/2017,1839
2/19/2017,2602
2/20/2017,3700
2/21/2017,3873
2/22/2017,3727
2/23/2017,3372
2/24/2017,2648
